================================================================================
        MFGH Solver Calculation Log
================================================================================
Calculation Time: 2026-01-09 11:35:16

--- Input & Derived Parameters ---
MU                            : 49902.0048124958
HBAR                          : 1.0
N_POINTS_FINAL (Internal)     : 1024
R_MIN_USER_DEFINED            : 2.0
R_MAX_USER_DEFINED            : 400.0
E_MAX (for mapping)           : 0.00022693392727697473
V_min                         : -0.0011346696426874296
De_approx                     : 0.0011346696416370036

--- Key Results ---
Approx. Dissociation Energy (De) : 0.001135
Total Number of Bound States     : 33

--- Full Eigenvalue Spectrum ---
Level (v)       Energy                    State Type
640             0.00025367                Unbound (Continuum)
641             0.00025400                Unbound (Continuum)
642             0.00025531                Unbound (Continuum)
643             0.00025564                Unbound (Continuum)
644             0.00025696                Unbound (Continuum)
645             0.00025728                Unbound (Continuum)
646             0.00025861                Unbound (Continuum)
647             0.00025894                Unbound (Continuum)
648             0.00026026                Unbound (Continuum)
649             0.00026059                Unbound (Continuum)
650             0.00026192                Unbound (Continuum)
651             0.00026225                Unbound (Continuum)
652             0.00026359                Unbound (Continuum)
653             0.00026392                Unbound (Continuum)
654             0.00026526                Unbound (Continuum)
655             0.00026559                Unbound (Continuum)
656             0.00026694                Unbound (Continuum)
657             0.00026727                Unbound (Continuum)
658             0.00026862                Unbound (Continuum)
659             0.00026896                Unbound (Continuum)
660             0.00027031                Unbound (Continuum)
661             0.00027064                Unbound (Continuum)
662             0.00027200                Unbound (Continuum)
663             0.00027234                Unbound (Continuum)
664             0.00027370                Unbound (Continuum)
665             0.00027403                Unbound (Continuum)
666             0.00027540                Unbound (Continuum)
667             0.00027574                Unbound (Continuum)
668             0.00027711                Unbound (Continuum)
669             0.00027745                Unbound (Continuum)
670             0.00027882                Unbound (Continuum)
671             0.00027916                Unbound (Continuum)
672             0.00028054                Unbound (Continuum)
673             0.00028088                Unbound (Continuum)
674             0.00028226                Unbound (Continuum)
675             0.00028261                Unbound (Continuum)
676             0.00028399                Unbound (Continuum)
677             0.00028434                Unbound (Continuum)
678             0.00028573                Unbound (Continuum)
679             0.00028607                Unbound (Continuum)
680             0.00028747                Unbound (Continuum)
681             0.00028781                Unbound (Continuum)
682             0.00028921                Unbound (Continuum)
683             0.00028956                Unbound (Continuum)
684             0.00029096                Unbound (Continuum)
